"order";"id";"TRANSECT NAME";"OBSRVR";"COUNTY";"DATE";"TIME START";"TIME FINISH";"START CORNER";"MOVEMENT DIRECTION FROM START";"START FROM SE-CORNER CLOCKWISE";"DISTANCE COVERED";"ACTUAL TRANSECT LENGTH";"COUNT_YEAR";"DATE DIFFERENCE TO LAST COUNT (+/- DAYS)";"YEARS FROM LAST COUNT";"SAME OBSERVER THAN LAST TIME?";"Imetajad loetud y/n";"INFO1";"INFO2";"ATLAS_SQUARE";"I";"SELGITUSTÖÖ"
"216";"103";"Soodla";"Eerik Leibak";"Harju";"2023-06-06";"04:15";"07:50";"SE+2700";"päripäeva";"2700";"4,00";"4,00";"2023";"4";"17";"yes";"n";;;;"I";
"217";"104";"Kaukvere";"Eerik Leibak";"Ida-Viru";"2023-06-08";"04:15";"08:30";"SE+1450";"päripäeva";"1450";"4,00";"4,00";"2023";"2";"16";"yes";"n";;;;"I";
"218";"105";"Rae";"Jaak Tammekänd";"Pärnu";"2023-06-08";"04:42";"09:08";"SE+3900";"päripäeva";"3900";"4,00";"4,00";"2023";"2";"19";"yes";"n";"kaardile loendaja alguspunkti ise valesti kirjutanud";;;"I";
"219";"106";"Kloostri";"Art-Villem Adojaan";"Pärnu";"2023-06-06";"04:21";"07:33";"SE+1000";"päripäeva";"1000";"4,00";"4,00";"2023";"3";"16";"no";"unknown";"Kagupunktist päripäeva lugedes loendusmeetritel 2600-2950 (ehk põhjakülje lõpuosas) transekti loetud paralleelselt 100 meetrit lõuna pool - ületamatu kanali pärast.";;;"I";
"220";"107";"Kõrvenurga";"Annabel Runnel";"Harju";"2022-06-06";"04:48";"09:06";"SE+600m";"päripäeva";"600";"4,00";"4,00";"2022";"3";"16";"no";"y";"mõned lühendid ebaselged, ei selgunud ka loendaja käest";;;"I";
"221";"108";"Auvere";"Eerik Leibak";"Ida-Viru";"2022-06-07";"03:30";"07:20";"SW+450m";"vastupäeva";"1450";"4,00";"4,00";"2022";"3";"15";"yes";"y";"paar määrmata rähni DENLEU/PICTRI";;;"I";
"387";"109";"Vätse";"Renno Nellis";"Lääne";"2024-06-03";"05:20";"08:00";;"päripäeva";"380";"4,00";"4,00";"2024";"-2";"19";"yes";"n";;;;"I";
"388";"110";"Rimmu";"Margus Ellermaa";"Viljandi";"2024-05-25";"04:20";"08:08";;"päripäeva";"400";"4,00";"4,00";"2024";"-4";"16";"yes";"y";;;;"I";
"222";"111";"Hiiemetsa";"Eerik Leibak";"Ida-Viru";"2022-06-08";"03:10";"06:30";"SE+150m";"vastupäeva";"150";"4,00";"4,00";"2022";"3";"15";"yes";"y";"paar lühendit selgusetud";;;"I";
"223";"112";"Kiidjärve";"Tarmo Evestus";"Põlva";"2021-06-07";"04:05";"06:00";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"0";"16";"yes";"n";"abiriba pole loendatud, lisaks kahtlaselt kiiresti on läbitud";;;"I";
"224";"113";"Ädu";"Tarmo Evestus";"Valga";"2021-05-30";"04:40";"06:50";"NW";"päripäeva";"2000";"4,00";"4,00";"2021";"-6";"17";"yes";"n";"abiriba pole ilmselt loendatud, sest pea kõik vaatlused on põhi ja vaheribadel.";;;"I";
"225";"114";"Riisselja";"Indrek Tammekänd";"Pärnu";"2023-06-06";"05:00";"08:30";"SE+1760";"päripäeva";"1760";"4,00";"4,00";"2023";;;"yes";"y";;;;"I";
"389";"115";"Seliküla";"Eerik Leibak";"Järva";"2024-06-11";"04:40";"08:00";;"päripäeva";"700";"4,00";"4,00";"2024";"9";"17";"no";"y";;;;"I";
"226";"116";"Melliste";"Riho Kinks";"Tartu";"2021-06-04";"04:15";"07:20";"NE";"vastupäeva";"3000";"4,00";"4,00";"2021";"0";"15";"yes";"n";;;;"I";
"227";"117";"Lümandu";"Annabel Runnel";"Rapla";"2022-05-25";"04:27";"08:10";"SW + 140m";"päripäeva";"1140";"4,00";"4,00";"2022";"0";"15";"no";"y";"Imetajaid on tõenäoliselt loetud?";;;"I";
"228";"118";"Kotkapesa";"Jaak Tammekänd";"Pärnu";"2023-06-09";"04:22";"08:28";"SE+3200";"päripäeva";"3200";"4,00";"4,00";"2023";;;"yes";"n";"kaardile loendaja alguspunkti ise valesti kirjutanud";;;"I";
"229";"119";"Krootuse";"Liisi Peets";"Põlva";"2021-06-02";"03:58";"07:20";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"-8";"15";"no";"n";"loendaja kinnitas, et abiriba ei loendatud, va. I/II/III kaitsekategooria liigid";;;"I";
"230";"120";"Luime";"Annabel Runnel";"Harju";"2021-06-01";"04:22";"08:28";"SW +400m";"päripäeva";"1400";"4,00";"4,00";"2021";"3";"14";"no";"y";"Imetajaid on loetud.";;;"I";
"231";"121";"Lahemaa";"Annabel Runnel";"Lääne-Viru";"2021-06-12";"04:31";"08:26";"NW";"päripäeva";"2000";"3,90";"4,00";"2021";"2";"16";"no";"y";"SW-nurka lõigatud käärulise jõe pärast. Imetajaid on loetud.";;;"I";
"232";"124";"Luusika";"Liisi Peets";"Lääne-Viru";"2022-06-07";"04:38";"08:07";"SE";"päripäeva";"0";"4,00";"4,00";"2022";;;"uus";"n";"loendaja kinnitas, et abiriba ei loendatud, va. I/II/III kaitsekategooria liigid";;;"I";
"233";"125";"Tuiu";"Rein Nellis";"Saare";"2021-06-02";"04:55";"07:55";"SE";"päripäeva";"0";"4,00";"4,00";"2021";"-6";"13";"yes";"n";;;;"I";
"234";"043";"Suru";"Joosep Tuvi";"Harju";"2021-06-10";"04:37";"07:12";;"vastupäeva";"0";"4,34";"4,34";"2021";"12";"17";"no";"n";"2004. aastal nihutati transekti lennust, ehk seda loendust ei või pidada kordusena.";;;"I";
"235";"051";"Laagri";"Aarne Tuule";"Harju";"2022-06-01";"05:00";"08:15";;"päripäeva";"1240";"4,00";"4,00";"2022";"2";"17";"yes";"n";;;;"I";
"236";"056";"Tutermaa";"Aarne Tuule";"Harju";"2022-05-30";"05:10";"08:10";;"päripäeva";"3900";"4,00";"4,00";"2022";"4";"18";"yes";"n";;;;"I";
"237";"068";"Augjärv";"Joosep Tuvi";"Harju";"2021-06-11";"04:25";"07:04";;"vastupäeva";"550";"4,00";"4,00";"2021";"13";"17";"no";"n";"alguspunkt küsitud 3 aastat hiljem ja saadi kirja mälu järgi";;;"I";
"238";"089";"Muusika";"Aarne Tuule";"Harju";"2022-05-27";"05:00";"08:10";;"vastupäeva";"2677";"4,00";"4,00";"2022";"2";"14";"yes";"n";;;;"I";
"239";"122";"Kobru";"KORDAMATA";"Harju";;;;;;;;;;;;;;"KORDAMATA";;;;
"240";"123";"Karusmaa";"KORDAMATA";"Rapla";;;;;;;;;;;;;;"KORDAMATA";;;;
