"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"48";"2";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11747";"58,04341";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"49";"2";"PHYCOL";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11816";"58,04342";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"50";"2";"SYLATR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11775";"58,04318";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"51";"2";"CORRAX";"1";"h";"2";TRUE;TRUE;;"v";"1";;"22,11827";"58,04303";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"52";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11818";"58,04233";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"53";"2";"AEGCAU";"2";"h";"2";TRUE;TRUE;;"v";"1";;"22,11684";"58,04395";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"54";"2";"CORRAX";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,11715";"58,04224";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"55";"2";"CERFAM";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,11713";"58,04172";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"56";"2";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11667";"58,04203";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"57";"2";"CERFAM";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11495";"58,04132";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"58";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11409";"58,04156";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"59";"2";"TURPHI";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11282";"58,04153";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"60";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11249";"58,04149";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"61";"2";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11193";"58,04198";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"62";"2";"CERFAM";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,11083";"58,04197";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"63";"2";"CYACAE";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,11048";"58,04177";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"64";"2";"FICHYP";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11081";"58,04148";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"65";"2";"REGREG";"1";"h";"2";TRUE;TRUE;;"v";"1";;"22,10588";"58,04222";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"66";"2";"LOXCUR";"2";"ü";"2";FALSE;TRUE;;"v";"1";;"22,10608";"58,04205";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"67";"2";"ANTTRI";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10563";"58,04163";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"68";"2";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10488";"58,04162";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"69";"2";"REGREG";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10446";"58,04158";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"70";"2";"LULARB";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,10331";"58,04080";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"71";"2";"DENMAJ";"1";"h";"3";TRUE;TRUE;;"v";"1";;"22,10272";"58,04079";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"72";"2";"PARMAJ";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10191";"58,04167";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"73";"2";"JYNTOR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,09908";"58,04168";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"74";"2";"EMBCIT";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,10183";"58,04282";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"75";"2";"DENMAJ";"1";"h";"2";TRUE;TRUE;;"v";"1";;"22,10110";"58,04278";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"76";"2";"ANTTRI";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,10122";"58,04347";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"77";"2";"PHYCOL";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,09989";"58,04352";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"78";"2";"ANTTRI";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,10032";"58,04388";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"79";"2";"ERIRUB";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,10031";"58,04407";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"80";"2";"CERFAM";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,10030";"58,04420";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"81";"2";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10033";"58,04331";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"82";"2";"TURMER";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,10104";"58,04556";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"83";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,09977";"58,04535";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"84";"2";"LOXCUR";"4";"ü";"2";FALSE;TRUE;;"v";"1";;"22,09989";"58,04585";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"85";"2";"CORNIX";"1";"h";"3";TRUE;TRUE;;"v";"1";;"22,09909";"58,04623";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"86";"2";"PERATE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10062";"58,04662";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"87";"2";"ERIRUB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,09967";"58,04669";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"88";"2";"ERIRUB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,10102";"58,04762";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"89";"2";"PHYCOL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10053";"58,04758";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"90";"2";"SYLBOR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,09918";"58,04747";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"91";"2";"STRALU";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,10170";"58,04965";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"92";"2";"PHYCOL";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,10082";"58,04971";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"93";"2";"SYLATR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10039";"58,05004";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"94";"2";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10030";"58,04946";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"95";"2";"ERIRUB";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,09955";"58,04924";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"96";"2";"TROTRO";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,10019";"58,04987";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"97";"2";"CUCCAN";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,09938";"58,04982";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"98";"2";"GARGLA";"1";"h";"1";TRUE;TRUE;;"v";"1";;"22,10039";"58,05043";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"99";"2";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,09982";"58,05021";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"100";"2";"TURMER";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,09899";"58,05045";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"101";"2";"TURPHI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,09888";"58,05030";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"102";"2";"CORNIX";"1";"h";"3";TRUE;TRUE;;"v";"1";;"22,09927";"58,04516";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"103";"2";"GRUGRU";"2";"s";"3";TRUE;TRUE;;"l";"1";;"22,09798";"58,04179";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"104";"5";"PHYLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63527";"58,77806";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"105";"5";"TURPHI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63668";"58,77784";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"106";"5";"PRUMOD";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63736";"58,77775";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"107";"5";"COLPAL";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63932";"58,77795";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"108";"5";"TROTRO";"3";"s";"2";TRUE;TRUE;;"LP";"1";"≥2 poega + S";"24,63751";"58,77743";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"109";"5";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63877";"58,77741";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"110";"5";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63601";"58,77721";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"111";"5";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,63667";"58,77698";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"112";"5";"TROTRO";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63893";"58,77648";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"113";"5";"FRICOE";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63764";"58,77644";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"114";"5";"ANTTRI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63683";"58,77613";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"115";"5";"PHYLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63908";"58,77614";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
